,Date,Title,Summary,Unnamed: 4
10,04/19/2020,Transporters say not able to sustain highway toll charges,"New Delhi, Apr 19 (PTI) Protesting against proposed resumption of toll on national highways from Monday, transporters'' apex body AIMTC on Sunday said it will adversely affect rabi crop procurement, adding that over 85 per cent transporters are cash-starved small operators who are not able to sustain toll fee.
The All India Motor Transport Congress (AIMTC), the apex body for transporters that represents about 95 lakh truckers and transport entities, sought suspension of toll till May 3.
After temporarily suspending toll collection on national highways across the country from March 25 amid the coronavirus pandemic, the National Highways Authority of India (NHAI) is set to resume toll collection from Monday, a move that is being opposed by transporters.
Earlier, the road transport and highways ministry advised the National Highways Authority of India (NHAI) to follow the home ministry''s guidelines about toll plaza operations following the lockdown.
The NHAI had rolled out the electronic toll collection programme across India in December on its over 500 toll plazas while doubling toll charges from the vehicles entering FASTag lanes without the tag.",
11,04/29/2020,No immediate recovery in sight for trucking industry hammered by lockdown,"If the demand for industrial goods doesn’t make a dramatic recovery in May-June, India may see a shakeout in the truck transport sector in about six months.
The road transport sector is largely unorganised.
According to the Indian Foundation of Transport Research and Training (IFTRT), India has 52 lakh trucks, of which 14 lakh undertake long- and medium-haul journeys on a national permit.
(Another 20 lakh trucks ply inter-State while the rest travel within States.)
The government has already created a framework through GST, electronic waybill, etc for faster movement of cargo, said experts.",
12,05/27/2020,Rising freight will puncture corporate margins,"“Trunk route truck freight is up between 20%-35% as only one-third of the 5.2 million goods carriers are now on roads.
Since there isn’t enough cargo the trucks have to return empty forcing transporters to sharply increase one-way freight.
Ship and air freight charges have nearly doubled.
Further, there are frequent changes in the freight charges depending upon drivers and space availability, despite booking in advance.
For Nishant Chandran, founder of meat startup, Tender Cuts, freight rates have been volatile ever since the lockdown happened.",
13,06/26/2020,Diesel price on fire: Soaring truck rentals pose inflation risk,"A series of diesel price hikes since early June is likely to fuel inflation and truck rentals are set to soar, according to transporters.
Diesel price hike has increased the cost of running trucks by 20-25 per cent, according to AIMTC.
On the base price of diesel and petrol, this is 275 per cent and 255 per cent respectively, according to AIMTC.
Meanwhile, on Thursday, in Delhi, fuel price was higher than on Wednesday – marking yet another day of increase in price.
Private bus operators, who run buses for state road transport undertakings, have also demanded lower fuel price.",
14,04/01/2020,"Only owner-driven trucks are operating, that too at a stiff price","As a large number of employee truck drivers return to their families, only owner-driven trucks are plying on the roads, say officials working in the logistics space.
A lot of drivers employed in trucks returned to their families as the fear of pandemic gripped India.
Owner drivers have access to credit cards, unlike employee drivers, who carry cash and cash cards; and have to deal with ATMs without cash, said Haritash.
Freight charges for shorter distances have soared with the owner drivers asking over 1.5 times the freight charges, for risking transporting freight cargo between two places, said Haritash.
IFTRT Senior Fellow SP Singh said that a large chunk of truck drivers employed by firms in India are not even on the rolls of transport companies.",
15,03/28/2020,Coronavirus update: Railways steps up cargo ops to boost supply of essentials amid lockdown,"The unprecedented three-week lockdown, announced by Prime Minister Narendra Modi on Tuesday, exempts the transportation of all essential goods.
However, supplies of several products were disrupted on the first day of the lockdown on Wednesday as the authorities amid confusion over activities that are allowed during the lockdown.
Truckers alleged that despite carrying essential goods, they were stopped by the state police.
On Wednesday -- the first day of the lockdown --the Union government had advised states to allow manufacturing units of essential items operate and facilitate inter-state movement of such products.
“Indian Railways understands its crucial role during this difficult time and requests all the stakeholders to fully support in ensuring faster loading and unloading of essential supplies,” it added.",
16,01/07/2020,Truck rentals: Truck rentals firm up due to fuel price fears,"As crude firms up, truck rentals , which were down more than 20% all through calendar 2019, have suddenly started firming up, says Indian Foundation for Transport Research & Training (IFTRT).
“High fuel prices do affect sales but the bigger impact is on usage as people drive their vehicle less.
“Truck rentals are already up in the January 1-6 period.
The combination of rising fuel prices and rupee depreciation “could further impact consumer spending,” said SP Singh, senior fellow & coordinator, IFTRT.
“Key trunk routes like Delhi-Mumbai-Delhi were down -20%,” said Singh.The current firming up of rentals is entire driven by fuel prices, he added.",
17,04/01/2020,Essential supplies face disruption as Covid-19 cripples road transport,"Mahendra Choudhary, owner of a supermarket in Navi Mumbai, has been facing acute shortage of staples like flour, rice, pulses, lentils and fast moving consumer goods (FMCG) products, including soap, oil and shampoo.
This is mainly owing to a surge in demand from donors of such items.
“On Monday, there was demand from someone for 50 packets of flour along with some other consumer goods.
I had run out of stock,” said Choudhary.
The problem facing Choudhary has its roots in shuttered factories, distribution centres and a restricted number of trucks on the road.",
18,05/26/2020,Soaring freight charges throw a spanner in works for auto firms,"They say that they are offering more salaries to the truck drivers to get them back to work but drivers remain insecure about job stability and health risks,"" Rakesh Sharma, executive director, Bajaj Auto Ltd said last week.
“We are paying a premium to get things moving due to lesser number of truck drivers available.
“The truck drivers are part of the skilled workforce as they drive multi-axle car carriers, which any regular truck driver cannot drive.
Singh, senior fellow at the Indian Foundation of Transport Research and Training (IFTRT) however termed the shortage of truck drivers a temporary problem.
According to Singh, one-way freight charges for an 18-ton payload multi-axle truck would be ₹75,000 between Delhi–Mumbai.",
19,04/01/2020,"AIMTC seeks govt intervention for food, safety for stranded truck drivers","New Delhi, Apr 1 (PTI) Supplies in the country could be impacted due to challenges being faced by truck drivers amid the Covid-19 pandemic, transporters'' body AIMTC said on Wednesday, as it sought government intervention for stranded drivers.
The All India Motor Transport Congress (AIMTC) is the apex umbrella body of transporters representing about 93 lakh truckers pan-India.
""Proper movement of vehicles, carrying essential or non-essential goods, is not possible under the challenges like ...cases of arrest of persons providing food to stranded drivers,"" AIMTC said in a statement.
Indian Foundation of Transport Research and Training (IFTRT) official SP Singh said a large number of truck drivers do not have social security net as they are not employed by the companies.
Last week, AIMTC had cautioned that panic among stranded truckers at various places without proper provisions could escalate the problem of drivers'' shortages and cripple the supply chain.",
20,04/09/2020,"coronavirus impact on truckers: Transporters warn of total collapse as COVID-19 lockdown strains freight movement, Auto News, ET Auto","""We were already operating at 65-70 percent of our capacity from the past several months due to economic slowdown.
""Currently, hardly 3 lakhs trucks out of the total 14 lakh trucks with national permit are plying on the road,"" Gupta added.He further said extra layers of scrutiny and rigid checking by law and enforcement officials is also mounting pressure on freight drivers.
Besides, there are liabilities which need to be paid in advance when the lockdown is over,"" Singh explained.
""Revival in freight demand post the lockdown period also remains a cause of concern.
Although the government has allowed for a three month moratorium on vehicle loans, the interest on the outstanding amount will continue to accrue,"" Gandhi noted.",
21,06/09/2020,Thefts and virus spread pose double whammy for truck drivers,"Truck drivers on the highways are now facing a double whammy – fear of Covid-19 and theft.
Given the present challenges, trucks drivers move in groups, avoid travelling at night and also choose dhabas carefully,"" said SP Singh, Senior Fellow, IFTRT.
The most vulnerable sections of drivers and labourers have become carriers of coronavirus, AIMTC has said as it reiterated the need to have ₹50 lakh insurance for drivers.
""As the truck had GPS, we were able to track the truck back in five hours.
Bhatia is now waiting for his container truck and driver to return, which is possible after the enquiry is over.",
22,03/24/2020,"Moving goods is not a smooth run, despite government clamping on people movement","First, stoppage of passenger trains has resulted in all parcel movements getting hit as most of the fast-moving parcels are loaded in passenger trains and not goods trains.
Second, grounding of international passenger flights has also disrupted the cargo moved in the belly of passenger flights.
The government has decided, for now, not to stop the goods trains of the railways as they would carry essential supplies.
Another official pointed out that while moving cargo that requires mechanised loading like coal will not be hit, those that require manual labour, like cement, foodgrain and fertiliser, may face difficulties.
“Spot prices for parcel movement have soared.",
23,04/02/2020,Supply chain faces disruption with over 5 lakh trucks stranded at state borders,"Despite government directives to ensure smooth transportation of goods, more than 5,00,000 trucks are stranded at highways and inter-state borders.
While the government has allowed plying of trucks carrying non-essential commodities, the directives have not reached the regulators on-ground.
Although the government has allowed the trucks without discrimination, the sudden shutdown has led to non-receipt of goods even at the warehouses.
More than 5,00,000 trucks are stranded.
View more ShowSince the announcement of the shutdown on March 24, several trucks have been stranded on highways.",
24,04/16/2020,"Hit hard by the virus and lack of demand, India's trucking industry now battles shortage of drivers","Since more than 50% of the 50 lakh trucks are already off the road due to the unavailability of drivers.The Indian trucking industry deploys more than 8 million drivers and 12 million helpers.
Experts caution that the real impact of the nationwide lockdown would be long-term.Logistics platform WheelsEye analysed over 30,000 fleet owners and 3 lakh plus trucks in India, and found that these fleet owners have been hit the hardest.
This was a dreadful situation for drivers.“If it's a matter of 2-3 days, drivers could have managed, but here we are talking about three weeks.
WheelsEye’s above quoted survey also found that among 200 fleet owners, 96% of them were anxious about missing out on the EMIs.
Thus, experts believe the Government should be ready to expect the NPAs to rise further in coming times.",
25,04/16/2020,Logistics & Trucking: Runnning Big Losses,"Small operators who constitute about 85 per cent of the trucking population are the worst hit, says Gupta.
India’s transport sector, which currently employs more than 10 million people directly, has had a pretty rough ride over the last few years.
According to KPMG, the transport and logistics industry employs more than 8.27 million people and contributes 14 per cent to the country’s GDP.
Of the 9 million trucks in the country, only 4.5 million are currently plying thereby severely impacting the movement of goods, says the report.
Pushkar Singh, CEO of LetsTransport, a logistics aggregator says, “The short-term impact will be loss of revenue for almost all businesses.",
26,03/26/2020,Covid-19 update: Trucks ferrying essential goods stranded on highways as India locks down,"indiaUpdated: Mar 26, 2020 14:58 ISTThe announcement of an unprecedented three-week lockdown by Prime Minister Narendra Modi has left lakhs of trucks ferrying essential commodities stranded along national highways even as the government has exempted the movement of essential goods during the period.
In many cases zonal Divisional Railway Managers (DRMs) have had to call the police and ensure they are allowed.
At present, nearly 75% of total freight carrying fleet is stranded and unable to unload cargo.
“There are about 2.5-3 lakh trucks stranded on national highways right now as they are not being allowed to enter.
The department of commerce on Wednesday issued an advisory to states to keep units manufacturing food and essential items going and allow transport of intermediary goods.",
27,01/21/2020,All you wanted to know about CV scrappage policy,"A scrappage scheme for commercial vehicles (CVs) is one of the most sought-after measures in the upcoming Union Budget for 2020-21.
Scrappage policy refers to the provision of financial incentives to the owners of vehicles to get them to scrap outdated models and replace them with newer vehicles.
But whether the new scrappage policy will take a completely different shape from the earlier one needs to be seen.
The scrapping of old trucks seems to be a short-cut to expedite a recovery in the CV cycle by bumping up demand for new trucks.
For truck owners, a scrappage incentive and subsidy for new vehicles will help compensate for the higher price of BS VI trucks.",
28,04/13/2020,Govt considering insurance scheme for truck drivers: Gen (Retd) VK Singh,"The government is working on an insurance scheme for truck drivers and helpers, indicated Minister of State for Road Transport and Highways Gen (Retd) VK Singh, during an interaction with members of industry body PHDCCI on Monday morning.
He was responding to a query from one of the industry officials on whether the government can work out a low cost insurance scheme for truck drivers and labourers.
Earlier, several transport bodies including All India Motor Transport Congress (AIMTC) have already asked the government to consider an insurance scheme of ₹ 50 lakh for truck drivers.
HOW TO PAY SALARIES TO LABOURERSSingh also said the government would like to discuss how the industry could pay workers.
How will labourers be paid if their payments are held back, asked Singh, adding, ""Please pass it on.""",
29,03/25/2020,"Coronavirus lockdown: With no food or hope, truckers stranded across India","Twenty eight-year-old Mohammad Javed, driver of a truck carrying LPG cylinders, has been stranded at the Hubli checkpost since Tuesday afternoon without food, water or any hope.
The policemen posted at the border would not allow him to cross over as the COVID-19 lockdown is to be followed stringently.
Javed is among some 500,000 drivers and helpers left high and dry across the many state borders, estimates made by the Indian Foundation of Transport Research and Training (IFTRT) suggest.
Trucks, even the ones carrying essential goods, are not being allowed to move following the ...",
30,03/27/2020,Indian supply chains descend into 'chaos' as the lockdown goes nationwide,"By Sam Whelan 27/03/2020Cargo is being abandoned at Indian airports amid the “chaos” caused by the country’s three-week nationwide lockdown.
Cargo movement is supposed to be exempt from the lockdown restrictions, but there are widespread reports of disruption across land, sea and air.
“General cargo haulage is not happening, and no trucker is willing to risk carrying general cargo shipments to and from airports.
Import cargo not being cleared due to the non-availability of a customs house agent or loaders, is being abandoned in the airport.
The cargo bottlenecks and disruptions have forced some forwarders to tell customers nearly all trade with India is on hold.",
31,01/28/2020,"DICV: DICV to launch 42 newbies in 2020; dedicates 2 engine options for BS-VI range, Auto News, ET Auto","Though we are expecting that by Q3 and Q4 some growth to return, overall the year 2020 will be even more challenging compared to 2019 for the domestic commercial vehicle industry.
""For heavy vehicles, we have upgraded our 6.2 OM906 litre engine to 7.2 litre OM926 and retaining the same 4D34 engine series for medium-duty vehicles,"" informed Arya.
""""The first quarter of this year will be slightly better in terms of sales due to the impact of BS-IV pre-buy.
He, however, believes that the current turmoil in the industry is temporary and can be controlled if the government takes concrete steps in the upcoming union budget.
""If the budget really brings out measures which can boost consumption and the investment in infrastructure continues we expect that the industry would return to a growth path from 2021,"" he said.",
32,07/24/2020,"Ashok Leyland AVTR trucks: Ashok Leyland delivers its modular AVTR trucks, Auto News, ET Auto","Coimbatore: Ashok Leyland of the Hinduja group launched its latest range of modular AVTR trucks here on Friday.
They were delivered to the customers in the presence of COO of Ashok Leyland Anuj Kathuria and CEO of TVS & Sons Private Limited Madhu Raghunath.
""Our AVTR range of trucks provides our customer with the latest in technology and innovation.
With our economy gradually picking up and business coming to normalcy, these trucks will play a crucial role to get the goods moving,"" Kathuria said in a press release.With cost management being crucial, the new trucks would set benchmark in terms of total cost of ownership, including best in class operation and maintenance cost, he said.
""We are certain to meet the business requirements of as many customers as possible to see the value in investing in these trucks which will eventually help them grow their business profitably,"" Raghunath said.",
33,05/14/2020,"Online booking, wearing masks must to board Haryana transport buses plying from Friday, Auto News, ET Auto","CHANDIGARH: Online booking and wearing masks will be must for passengers boarding the Haryana Roadways buses which are to start plying on select routes in the state from Friday, said Transport Minister Mool Chand Sharma.
""No passenger will be allowed to board the bus if online booking has not been done.
The bus services will be point-to-point on select routes and wearing masks is mandatory.
""The buses will ply from the Haryana State Transport bus stands to the scheduled bus stands.
The fare paid by the passenger will be refunded, he added.",
34,06/25/2020,Improvement in cargo flow will drive growth of used-truck market,"The growth in used-truck sales will hinge on strong improvements in cargo availability in the coming months even as the market is projected to be flooded with used trucks coming up for sale.
While the used-car market continues to see an increase in enquiries due to a shift in buyer preferences driven by the Covid-19 pandemic, the dynamics of the used-truck market are completely different.
“There could be a huge number of used trucks post-August, when the moratorium to pay EMIs is over.
Under utilisationBut industry analysts feel that it is little too early for the used-truck market to see some action.
Therefore, it is highly unlikely that the used-truck market will do much different than the new-truck market,” says Paritosh Gupta, Analyst, Medium and Heavy Commercial Vehicle Forecasting, IHS Markit.",
35,03/16/2020,"Electric Truck platform: Bollinger Motors reveals its electric truck platform, Auto News, ET Auto","New Delhi: Michigan-based startup Bollinger Motors has recently showcased its first electric platform and chassis for commercial vehicles.The platform named ' E-Chassis ' is the world's first and only Class 3 electric platform which has been designed to offer a high level of utility for the commercial electric truck market, according to the company.The entire platform is now patent pending and can accommodate any future models developed by Bollinger Motors.
""The E-Chassis can be customized to meet customer requests and will include a 120 kWh battery pack as standard equipment.
Not only cab-on-chassis, but entirely new truck bodies can fit on our E-Chassis, and help propel the world to all-electric that much faster.
""At present, Bollinger’s B1 SUV and the B2 Pickup are sharing the same E-Chassis platform.
The entire platform is now patent pending and can accommodate future models and other trucks developed by Bollinger Motors, the company said.",
36,03/02/2020,"Ashok Leyland sales: Ashok Leyland February sales dip 37% at 11,475 units, Auto News, ET Auto","Accept the updated privacy & cookie policyDear user,ET Auto privacy and cookie policy has been updated to align with the new data regulations in European Union.
Please review and accept these changes below to continue using the website.
You can see our privacy policy & our cookie policy.
We use cookies to ensure the best experience for you on our website.
If you choose to ignore this message, we'll assume that you are happy to receive all cookies on ET Auto.",
37,04/21/2020,"DICV warranty extension: DICV extends warranty, service period by two months, Auto News, ET Auto","Satyakam Arya , Managing Director and CEO, Daimler India Commercial Vehicles“Even during the lockdown, some of our BharatBenz customers are transporting essential commodities in order to support the community.
To support them in turn, we decided to extend both service and warranty repairs by two months.”In an additional move to support BharatBenz customers, DICV tied up with Hindustan Petroleum Corporation Limited (HPCL) to support stranded drivers.
Drivers who are on the road away from home can dial the 24*7, toll-free number (1800-120-380380) and request basic support, the automaker said.BharatBenz collects information on the driver’s requirements, which include secured parking, water, fuel, bathing and shelter.
This information is then passed on to the nearest HPCL team, who contacts the driver and offers the required support.
""We are proud to tie up with HPCL to support our truck driver fraternity who may be away from their home location by providing support for their immediate basic requirements,” further added Rajaram Krishnamurthy , Vice President Marketing and Sales.",
38,02/24/2020,"trucks: Amend law to provide mandatory sleeping births in trucks: MP to Nitin Gadkari, Auto News, ET Auto","New Delhi: CPI MP Binoy Viswam on Sunday urged Union Road Transport Minister Nitin Gadkari to make changes in the Motor Vehicle Act so as to ensure ""proper working regulations for transport workers"" including ""mandatory sleeping births in trucks "" for drivers.This came in the backdrop of a recent road accident in Tamil Nadu's Tirupur where 19 passengers were killed when a bus traveling from Bengaluru and Ernakulam was hit by a transport truck.In his letter to Gadkari, Viswam according to the report of Palakkad RTO (enforcement), the accident was a result of carelessness by the lorry driver, who it appears had fallen asleep while driving.
""It is my understanding that prior to the 2018 amendment by the Central Government to Motor Vehicle Act's rules, a minimum of two drivers were required for transport vehicles in order to prevent exactly such types of accidents.
However, since the amendment, only one driver is entrusted with undertaking long and dangerous journeys,"" said Binoy.He said this tragic accident has highlighted the consequences of hasty changes to the law and its impact on the lives of innocent people.
""I urge you to bring forth changes in the law that ensure proper working regulations for transport workers, including mandatory sleeping births in trucks and lay-bys along the highway for trucks to stop,"" he said.
""Most crucially, stricter implementation of these laws will minimize the chances of such tragedies in the future,"" he added.",
39,04/20/2020,"truck operations resumption: To help drivers, road ministry launches dashboard with list of dhabas and truck repair shops, Auto News, ET Auto","New Delhi: To help drivers engaged in supplies of essential commodities and other cargo, the road transport ministry on Monday launched a dashboard containing list of dhabas and truck repair shops .
In addition, the National Highways Authority of India 's centralised call number 1033 has also been enabled to answer calls and help drivers/cleaners to find information about the dhabas and repair shops along National Highways ""The Ministry of Road Transport and Highways ( MoRTH ) has created a dashboard link on its website for providing list and details of dhabas and truck repair shops available across the country by various organisations like NHAI, states, oil marketing companies.
The list can be accessed at https://morth.nic.in/dhabas-truck-repair-shops-opened-during-covid-19,"" the ministry said in a statement.This is intended to facilitate the truck/cargo drivers and cleaners in their movement while travelling between different places of the country for delivering required goods in the present challenging times of lockdown announced to curb Covid-19 pandemic.A regular contact is being maintained with various stake holders particularly states/UTs, oil marketing companies (OMCs), etc, in providing information which is then updated on the dashboard link on MoRTH website, the statement said.
""It may be stated that these dhabas and repair shops, drivers, cleaners or any other person in the chain of movement of goods, shall follow all the necessary precautions and healthcare protocols of social distancing, use of masks, hygiene, etc,"" the statement said.",
40,05/30/2020,"road tax: Odisha government announces exemption of road tax for passenger buses, Auto News, ET Auto","Accept the updated privacy & cookie policyDear user,ET Auto privacy and cookie policy has been updated to align with the new data regulations in European Union.
Please review and accept these changes below to continue using the website.
You can see our privacy policy & our cookie policy.
We use cookies to ensure the best experience for you on our website.
If you choose to ignore this message, we'll assume that you are happy to receive all cookies on ET Auto.",
41,09/03/2020,Road Ministry proposes further steps to up the use of FASTags,"The Road Ministry has proposed more steps to widen use of FASTags in vehicle and driver-related ecosystem.
With effect from April 1, 2021, the Road Ministry proposes to make it compulsory to have a FASTag with pre-loaded balance money in the wallet to get a new third party insurance.
To do this, it proposes to amendment the certificate of insurance that will allow details of FASTag identity shall be captured, said an official statement.
From the total toll charges that are collected on national highways, about 65 per cent are collected electronically through FASTags.
The Ministry has notified a proposal on September 1, and sought comments and suggestions from the stakeholders on this proposal.",
42,04/10/2020,Corona-update: McCain Foods UK furloughs staff of several factories,"In the UK, frozen chips maker McCain Foods furloughs staff of several factories.
UK: Chips maker McCain Foods furloughs Whittlesey staffFrozen chips giant McCain Foods, which has 1,600 staff at its factories in Funthams Lane, Whittlesey, and at Grantham, Hull and Scarborough, says it will reduce its production until demand returns.
According to a research report by Credit Suisse, with the rabi harvest season now in full swing, market arrivals should be picking up.
However, despite anecdotal evidence of a bumper harvest, market arrivals are down 50-95 percent year on year.
The team helped transport just under 62 tonnes of cargo, primarily food items including vegetables, fish and meat, on a single flight bound to Dubai.",
43,07/13/2020,"Tata Motors Fleet Edge: Tata Motors introduces next-gen connected vehicle solution for fleet management, Auto News, ET Auto","New Delhi: Home-grown commercial vehicle major Tata Motors on Monday announced the launch of Tata Motors Fleet Edge – a next-generation connected vehicle solution that enables fleet management , with informed decision making.Fleet Edge has the capability of processing large amounts of data generated by the Telematics Control Unit (TCU) and offers real-time insights for track and trace, vehicle health, driving behaviour, real-time fuel efficiency and fuel loss alert, the company said in a release.Customers will also be able to track the due date of the important vehicle documents, it added.Speaking about the power of Fleet Edge, Girish Wagh, President, Commercial Vehicle Business Unit, Tata Motors said, “With Fleet Edge, we have set a new benchmark by providing customers more information and greater control over their fleet and their operations, remotely.
We’re taking data from the vehicles and using it to help our customers improve their operations.
We will consistently build and introduce enhancements to the Fleet Edge solution to provide more relevant and customised intelligence for fleet owners and managers to make informed decisions.
""According to the automaker, the Fleet Edge solution is relevant and beneficial across fleet size and is available with the entire M&HCV BSVI range of Tata Motors trucks and buses and a select range of I&LCV and SCV models.Besides, The TCU used in Fleet Edge is AIS 140 compliant, as regulated by the Government, with safety and security functions including the emergency buttons and vehicle location tracking communication to Government-authorised backend servers.Tata Motors is using vehicles with telematics solutions since 2012.
Currently, more than 2 lakh company's M&HCV vehicles are factory-fitted with telematics units.",
